Team,2021,2022,2023,2024,2025
,,,,,
Chennai Super Kings,1.735,4.505,1.895,3.04,5.495
,,,,,
Rajasthan Royals,2.42,6.105,0.985,1.43,4.07
,,,,,
Mumbai Indian,1.17,4.79,2.05,1.67,4.48
,,,,,
Kolkata Knight Riders,0.755,4.755,0.54,3.135,5.095
,,,,,
Lucknow Super Giants,0,5.9,1.98,1.22,6.89
,,,,,
Punjab Kings,3.44,6.855,2,2.495,11.015
,,,,,
Delhi Capitals,1.125,4.74,1.5,1.905,7.28
,,,,,
Royal Challengers Bangalore,3.505,5.545,0.7,2.04,8.225
,,,,,
Sunrisers Hyderabad,0.38,6.79,3.57,3.08,4.48
,,,,,
Gujrat Titans,0,5.185,1.48,3.03,6.885
