Sr. No.,Pl. Name,Price,Sold to
1,Robin Uthappa ,20000000, Chennai Super Kings
2,Dwayne Bravo ,44000000, Chennai Super Kings
3,Ambati Rayudu ,67500000, Chennai Super Kings
4,Deepak Chahar ,140000000, Chennai Super Kings
5,C.Hari Nishaanth ,2000000, Chennai Super Kings
6,N. Jagadeesan ,2000000, Chennai Super Kings
7,K.M. Asif ,2000000, Chennai Super Kings
8,Tushar Deshpande ,2000000, Chennai Super Kings
9,Shivam Dube ,40000000, Chennai Super Kings
10,Chris Jordan ,36000000, Chennai Super Kings
11,Maheesh Theekshana ,7000000, Chennai Super Kings
12,Rajvardhan Hangargekar ,15000000, Chennai Super Kings
13,Simarjeet Singh ,2000000, Chennai Super Kings
14,Devon Conway ,10000000, Chennai Super Kings
15,Dwaine Pretorius ,5000000, Chennai Super Kings
16,Mitchell Santner ,19000000, Chennai Super Kings
17,Adam Milne ,19000000, Chennai Super Kings
18,Subhranshu Senapati ,2000000, Chennai Super Kings
19,Mukesh Choudhary ,2000000, Chennai Super Kings
20,Prashant Solanki ,12000000, Chennai Super Kings
21,K.Bhagath Varma ,2000000, Chennai Super Kings
1,David Warner ,62500000, Delhi Capitals
2,Mitchell Marsh ,65000000, Delhi Capitals
3,Mustafizur Rahman ,20000000, Delhi Capitals
4,Shardul Thakur ,107500000, Delhi Capitals
5,Kuldeep Yadav ,20000000, Delhi Capitals
6,Ashwin Hebbar ,2000000, Delhi Capitals
7,Sarfaraz Khan ,2000000, Delhi Capitals
8,Kamlesh Nagarkoti ,11000000, Delhi Capitals
9,K.S. Bharat ,20000000, Delhi Capitals
10,Mandeep Singh ,11000000, Delhi Capitals
11,Syed Khaleel Ahmed ,52500000, Delhi Capitals
12,Lungisani Ngidi ,5000000, Delhi Capitals
13,Chetan Sakariya ,42000000, Delhi Capitals
14,Yash Dhull ,5000000, Delhi Capitals
15,Vicky Ostwal ,2000000, Delhi Capitals
16,Ripal Patel ,2000000, Delhi Capitals
17,Lalit Yadav ,6500000, Delhi Capitals
18,Rovman Powell ,28000000, Delhi Capitals
19,Tim Seifert ,5000000, Delhi Capitals
20,Pravin Dubey ,5000000, Delhi Capitals
1,Mohammad Shami ,62500000, Gujarat Titans
2,David Miller ,30000000, Gujarat Titans
3,Jason Roy  ,20000000, Gujarat Titans
4,Wriddhiman  Saha ,19000000, Gujarat Titans
5,Matthew Wade ,24000000, Gujarat Titans
6,Lockie Ferguson ,100000000, Gujarat Titans
7,Abhinav Sadarangani ,26000000, Gujarat Titans
8,Rahul Tewatia ,90000000, Gujarat Titans
9,Noor  Ahmad ,3000000, Gujarat Titans
10,R. Sai Kishore ,30000000, Gujarat Titans
11,Dominic Drakes ,11000000, Gujarat Titans
12,Vijay Shankar ,14000000, Gujarat Titans
13,Jayant Yadav ,17000000, Gujarat Titans
14,Darshan Nalkande ,2000000, Gujarat Titans
15,Yash  Dayal ,32000000, Gujarat Titans
16,B. Sai Sudharsan ,2000000, Gujarat Titans
17,Gurkeerat Singh ,5000000, Gujarat Titans
18,Alzarri Joseph ,24000000, Gujarat Titans
19,Varun Aaron ,5000000, Gujarat Titans
20,Pradeep Sangwan ,2000000, Gujarat Titans
1,Pat Cummins ,72500000, Kolkata Knight Riders
2,Shreyas Iyer ,122500000, Kolkata Knight Riders
3,Mohammad  Nabi ,10000000, Kolkata Knight Riders
4,Nitish Rana ,80000000, Kolkata Knight Riders
5,Sam Billings  ,20000000, Kolkata Knight Riders
6,Umesh Yadav ,20000000, Kolkata Knight Riders
7,Shivam  Mavi ,72500000, Kolkata Knight Riders
8,Sheldon Jackson ,6000000, Kolkata Knight Riders
9,Ajinkya Rahane ,10000000, Kolkata Knight Riders
10,Rinku Singh ,5500000, Kolkata Knight Riders
11,Anukul Roy ,2000000, Kolkata Knight Riders
12,Alex Hales  ,15000000, Kolkata Knight Riders
13,Rasikh Dar ,2000000, Kolkata Knight Riders
14,Tim Southee ,15000000, Kolkata Knight Riders
15,Baba Indrajith ,2000000, Kolkata Knight Riders
16,Chamika Karunaratne ,5000000, Kolkata Knight Riders
17,Abhijeet Tomar ,4000000, Kolkata Knight Riders
18,Aman Khan ,2000000, Kolkata Knight Riders
19,Ramesh Kumar ,2000000, Kolkata Knight Riders
20,Pratham Singh ,2000000, Kolkata Knight Riders
21,Ashok Sharma ,5500000, Kolkata Knight Riders
1,Quinton De Kock ,67500000, Lucknow Super Giants
2,Manish Pandey ,46000000, Lucknow Super Giants
3,Krunal Pandya ,82500000, Lucknow Super Giants
4,Mark Wood ,75000000, Lucknow Super Giants
5,Avesh Khan ,100000000, Lucknow Super Giants
6,Ankit Singh Rajpoot ,5000000, Lucknow Super Giants
7,K. Gowtham ,9000000, Lucknow Super Giants
8,Dushmanta Chameera ,20000000, Lucknow Super Giants
9,Shahbaz Nadeem ,5000000, Lucknow Super Giants
10,Manan Vohra ,2000000, Lucknow Super Giants
11,Evin Lewis ,20000000, Lucknow Super Giants
12,Mohsin Khan ,2000000, Lucknow Super Giants
13,Mayank Yadav ,2000000, Lucknow Super Giants
14,Ayush Badoni ,2000000, Lucknow Super Giants
15,Kyle Mayers ,5000000, Lucknow Super Giants
16,Karan Sharma ,2000000, Lucknow Super Giants
17,Jason Holder ,87500000, Lucknow Super Giants
18,Deepak Hooda ,57500000, Lucknow Super Giants
1,Ishan Kishan ,152500000, Mumbai Indians
2,Dewald Brevis ,30000000, Mumbai Indians
3,Anmolpreet Singh ,2000000, Mumbai Indians
4,Basil Thampi ,3000000, Mumbai Indians
5,Murugan Ashwin ,16000000, Mumbai Indians
6,Jaydev Unadkat ,13000000, Mumbai Indians
7,Mayank Markande ,6500000, Mumbai Indians
8,N. Tilak Varma ,17000000, Mumbai Indians
9,Sanjay Yadav ,5000000, Mumbai Indians
10,Jofra Archer ,80000000, Mumbai Indians
11,Daniel Sams ,26000000, Mumbai Indians
12,Tymal Mills ,15000000, Mumbai Indians
